Scans,Initial Time,Final Time,Temperature[°C],Condutivity[mS/cm],Salinity[PSU],Conductance[S]
60,2018-07-24 12:36:06.811924,2018-07-24 12:37:07.254146,28.227110166666666,2.2966477,1.0990542,997.0427050000002,1506.3395500000004,0.49596485333333334
60,2018-07-24 12:37:07.265031,2018-07-24 12:38:07.720626,28.249579166666667,2.296486383333333,1.098468633333333,997.0358183333333,1506.3936,0.49593004333333346
60,2018-07-24 12:38:07.731612,2018-07-24 12:39:08.172489,28.26951533333333,2.2966678666666667,1.0981125333333333,997.0298166666668,1506.4415500000002,0.49596920333333333
60,2018-07-24 12:39:08.183582,2018-07-24 12:40:08.634255,28.283444166666673,2.296532716666667,1.0977324000000002,997.0255283333332,1506.4749499999998,0.4959400383333333
60,2018-07-24 12:40:08.645437,2018-07-24 12:41:09.085375,28.296742333333334,2.2965148333333327,1.0974254666666665,997.0214616666668,1506.50675,0.4959361783333333
60,2018-07-24 12:41:09.096750,2018-07-24 12:42:09.540298,28.313731,2.2968064333333333,1.0971914166666668,997.0163916666668,1506.5477166666667,0.4959991183333334
60,2018-07-24 12:42:09.551634,2018-07-24 12:43:09.997174,28.329494166666674,2.2965937333333337,1.0967316999999999,997.0114950000001,1506.58525,0.4959532116666666
60,2018-07-24 12:43:10.008507,2018-07-24 12:44:10.447984,28.3397645,2.2966528,1.0965316333333337,997.0083733333335,1506.6098499999998,0.4959659716666666
60,2018-07-24 12:44:10.459413,2018-07-24 12:45:10.897756,28.352306499999997,2.29672205,1.09628585,997.00455,1506.6398666666669,0.4959809250000001
60,2018-07-24 12:45:10.909360,2018-07-24 12:46:11.348581,28.364681000000004,2.2968545499999995,1.0960755,997.0008216666666,1506.6695833333333,0.49600953166666667
60,2018-07-24 12:46:11.360109,2018-07-24 12:47:11.804323,28.376376999999998,2.2967394333333333,1.0957564666666666,996.9971916666667,1506.6975333333332,0.4959846716666666
60,2018-07-24 12:47:11.815980,2018-07-24 12:48:12.250702,28.390749666666668,2.2966376666666664,1.0953844500000003,996.9927616666665,1506.7319166666664,0.495962695
60,2018-07-24 12:48:12.278625,2018-07-24 12:49:12.729507,28.40428016666666,2.2967315000000004,1.0951295333333335,996.9886583333333,1506.7642833333332,0.49598296833333333
60,2018-07-24 12:49:12.741196,2018-07-24 12:50:13.187616,28.415455333333334,2.296546833333333,1.0947874000000002,996.985135,1506.7909166666666,0.49594307500000007
60,2018-07-24 12:50:13.199457,2018-07-24 12:51:13.644694,28.428466000000004,2.2969479666666666,1.0946980833333333,996.9812999999999,1506.8222333333333,0.49602971
60,2018-07-24 12:51:13.656633,2018-07-24 12:52:14.101581,28.441781000000002,2.2965110666666666,1.0941825,996.9770416666667,1506.8537833333332,0.49593535166666664
60,2018-07-24 12:52:14.113707,2018-07-24 12:53:14.551360,28.461459333333337,2.2966288833333333,1.0938029666666667,996.971065,1506.9007666666666,0.4959608083333334
60,2018-07-24 12:53:14.563371,2018-07-24 12:54:15.009989,28.47570466666667,2.2968075,1.0935750333333334,996.9667566666666,1506.9349166666664,0.49599934999999995
60,2018-07-24 12:54:15.022171,2018-07-24 12:55:15.470694,28.485413333333334,2.2964682666666665,1.0931893,996.96367,1506.9578166666665,0.49592613333333335
60,2018-07-24 12:55:15.482769,2018-07-24 12:56:15.951340,28.49539433333333,2.296831666666667,1.09314915,996.9607399999999,1506.9819,0.49600460500000004
60,2018-07-24 12:56:15.963666,2018-07-24 12:57:16.441662,28.504335499999993,2.2968511166666667,1.0929598999999999,996.9580016666666,1507.0032833333337,0.4960087933333333
60,2018-07-24 12:57:16.453932,2018-07-24 12:58:16.912383,28.519757000000002,2.2968914166666665,1.0926371333333336,996.9532833333332,1507.0399499999999,0.49601750666666666
60,2018-07-24 12:58:16.949380,2018-07-24 12:59:17.383755,28.528811333333337,2.2965430833333333,1.0922616666666667,996.9503716666666,1507.0613,0.4959422666666667
60,2018-07-24 12:59:17.396152,2018-07-24 13:00:17.855636,28.53644266666667,2.2967546333333333,1.0921978666666665,996.9480999999998,1507.0797166666669,0.4959879533333334
60,2018-07-24 13:00:17.868199,2018-07-24 13:01:18.311555,28.542485833333338,2.2969564666666664,1.0921645333333332,996.9463233333333,1507.0941333333333,0.49603154666666666
60,2018-07-24 13:01:18.349282,2018-07-24 13:02:18.793711,28.539696499999994,2.2970396166666665,1.0922680333333332,996.94722,1507.087533333333,0.49604948666666665
60,2018-07-24 13:02:18.807052,2018-07-24 13:03:19.244932,28.531436833333334,2.296788550000001,1.0923259,996.94966,1507.0677000000003,0.4959952799999999
60,2018-07-24 13:03:19.258409,2018-07-24 13:04:19.703352,28.520934500000003,2.296756383333333,1.0925434333333333,996.9528716666666,1507.0427166666668,0.4959883416666667
60,2018-07-24 13:04:19.717093,2018-07-24 13:05:20.164441,28.494190166666666,2.2968824333333333,1.0932014,996.9611300000003,1506.9790333333328,0.49601556833333327
60,2018-07-24 13:05:20.177816,2018-07-24 13:06:20.633535,28.47655266666667,2.2968168666666666,1.0935609333333334,996.9665000000001,1506.9368500000003,0.4960013850000001
60,2018-07-24 13:06:20.646910,2018-07-24 13:07:21.091882,28.437349999999995,2.297000466666666,1.0945265,996.9786050000001,1506.8434166666666,0.49604104166666657
60,2018-07-24 13:07:21.105245,2018-07-24 13:08:21.553712,28.415946666666667,2.2969661833333332,1.0949865833333332,996.9851416666667,1506.7923166666662,0.49603363500000003
60,2018-07-24 13:08:21.567138,2018-07-24 13:09:22.046791,28.386979833333335,2.296557533333334,1.0954285500000003,996.9938733333333,1506.7227833333336,0.4959453883333334
60,2018-07-24 13:09:22.060211,2018-07-24 13:10:22.510533,28.34774333333333,2.2967198000000004,1.0963868333333333,997.0059533333333,1506.6290000000001,0.4959804416666667
60,2018-07-24 13:10:22.523875,2018-07-24 13:11:22.961303,28.319797666666666,2.2968151833333335,1.0970599333333335,997.0145316666668,1506.5622333333336,0.49600103833333326
60,2018-07-24 13:11:22.974691,2018-07-24 13:12:23.426174,28.293111500000002,2.2965462833333334,1.0975226333333332,997.022585,1506.4980166666667,0.4959429733333333
60,2018-07-24 13:12:23.439807,2018-07-24 13:13:23.886424,28.2514115,2.2966049500000008,1.0984872333333333,997.0353149999999,1506.3980166666668,0.4959556383333333
60,2018-07-24 13:13:23.899811,2018-07-24 13:14:24.348164,28.202678666666667,2.2965245833333325,1.0995412333333332,997.0501249999999,1506.2808333333335,0.49593828
60,2018-07-24 13:14:24.361566,2018-07-24 13:15:24.813369,28.166214500000006,2.2961756999999996,1.1001856,997.0611083333333,1506.1929166666664,0.49586293333333326
60,2018-07-24 13:15:24.826773,2018-07-24 13:16:25.273264,28.119849333333335,2.296880283333333,1.1015850166666667,997.075445,1506.0817166666668,0.49601508333333333
60,2018-07-24 13:16:25.286662,2018-07-24 13:17:25.736315,28.091365333333332,2.296821516666667,1.102198,997.0840716666668,1506.0129666666664,0.4960023866666667
60,2018-07-24 13:17:25.749685,2018-07-24 13:18:26.202517,28.066106666666666,2.2964115,1.1025613166666666,997.0915766666666,1505.9517666666666,0.49591385833333335
